School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Doolittle,Public,735 Cornwall Ave,Cheshire,6410,New Haven,0.6,0.0,0.6
Highland Elementary School,Public,490 Highland Avenue,Cheshire,6410,New Haven,3.4,0.5,3.9
Humiston School,Public,29 Main St.,Cheshire,6410,New Haven,,,
Norton Elementary School,Public,414 North Brooksvale Rd,Cheshire,6410,New Haven,1.6,0.0,1.6
St. Bridget School,Non-public,171 Main St.,Cheshire,6410,New Haven,4.0,0.6,4.6
The Webb School At Cheshire,Non-public,725 Jarvis St,Cheshire,6410,New Haven,,,
Chester Elementary,Public,23 Ridge Road,Chester,6412,Middlesex,5.8,0.0,5.8
Jared Eliot School,Public,69 Fairydell Road,Clinton,6413,Middlesex,0.7,0.0,0.7
Joel Elementary,Public,137 Glenwood Ave,Clinton,6413,Middlesex,1.1,0.5,1.6
Morgan High School,Public,71 Killingworth Tpke,Clinton,6413,Middlesex,0.2,0.0,0.2
Bacon Academy,Public,611 Norwich Avenue,Colchester,6415,New London,2.0,1.1,3.1
Colchester Elementary School,Public,315 Halls Hill Rd,Colchester,6415,New London,2.6,0.9,3.5
Jack Jackter Intermediate School,Public,215 Halls Hill Rd,Colchester,6415,New London,5.5,0.4,6.0
William J. Johnston Middle School,Public,360 Norwich Ave,Colchester,6415,New London,3.9,0.6,4.5
Colebrook Consolidated School,Public,452 Smith Hill,Colebrook,6021,Litchfield,2.8,0.0,2.8
Bridges Community School,Public,10 Commerce Drive,Columbia,6237,Windham,,,
Eastconn Educational And Vocational Center,Public,14 Rt 66,Columbia,6237,Windham,,,
Horace Porter School,Public,3 Schoolhouse Rd,Columbia,6237,Tolland,3.8,0.0,3.8
Cos Cob School,Public,300 East Putnam Avenue,Cos Cob,6807,Fairfield,2.6,0.3,2.9
Captain Nathan Hale Middle School,Public,1776 Main Street,Coventry,6238,Tolland,2.9,0.3,3.1
Coventry Grammar School,Public,3453 Main St,Coventry,6238,Tolland,0.0,0.0,0.0
Coventry High School,Public,78 Ripley Hill Rd.,Coventry,6238,Tolland,1.7,0.0,1.7
George Hersey Robertson Intermediate School,Public,227 Cross Street,Coventry,6238,Tolland,1.4,0.0,1.4
Hale Early Education Center,Public,1776 Main Street,Coventry,6238,Tolland,0.0,0.0,0.0
Adelbrook Learning Center,Non-public,60 Hicksville Rd,Cromwell,6416,Middlesex,0.0,0.0,0.0
Cromwell High School,Public,1 Donald Harris Drive,Cromwell,6416,Middlesex,1.3,0.6,1.9
Cromwell Middle School,Public,6 Mann Memorial Drive,Cromwell,6416,Middlesex,2.5,0.0,2.5
Edna C. Stevens School,Public,25 Court Street,Cromwell,6416,Middlesex,2.7,0.6,3.4
Woodside Intermediate School,Public,30 Woodside Road,Cromwell,6416,Middlesex,2.3,0.0,2.3
ACE,Public,26 Locust Ave,Danbury,6810,Fairfield,0.0,0.0,0.0
Broadview Middle School,Public,72 Hopital Avenue,Danbury,6810,Fairfield,0.1,0.0,0.1
Danbury High School,Public,43 Clapboard Ridge Road,Danbury,6811,Fairfield,0.7,0.2,1.0
Early Childhood Center Cottage Street,Public,17 Cottage St,Danbury,6810,Fairfield,0.0,0.0,0.0
Early Childhood Center Granville,Public,14 Granville Ave,Danbury,6810,Fairfield,0.0,0.0,0.0
Ellsworth Avenue Elementary School,Public,53 Ellsworth Avenue,Danbury,6810,Fairfield,0.0,0.0,0.0
Endeavor,Public,10 Crosby Ave,Danbury,6810,Fairfield,,,
Hayestown Avenue Schooll,Public,42 Tamarack Avenue,Danbury,6811,Fairfield,0.4,0.2,0.7
Hudson Country Montessori,Non-public,44A Shelter Rock Rd,Danbury,6810,Fairfield,3.6,0.0,3.6
Immaculate High School,Non-public,73 Southern Blvd,Danbury,6810,Fairfield,3.4,0.3,3.7
Immanuel Lutheran,Non-public,18 Clapboard Ridge Road,Danbury,6811,Fairfield,0.0,0.0,0.0
King Street Intermediate School,Public,151 South King Street,Danbury,6811,Fairfield,0.8,0.0,0.8
King Street Primary,Public,151 South King Street,Danbury,6811,Fairfield,1.0,0.2,1.2
Mill Ridge Primary,Public,49A High Ridge Rd,Danbury,6811,Fairfield,0.6,0.0,0.6
Morris Street  School,Public,28 Morris Street,Danbury,6810,Fairfield,0.0,0.0,0.0
Park Avenue School,Public,82 Park Avenue School,Danbury,6801,Fairfield,0.0,0.0,0.0
Pembroke Elementary,Public,34 1/2 Pembroke Road,Danbury,6810,Fairfield,0.0,0.0,0.0
Reach,Public,10 Crosby Street,Danbury,6810,Fairfield,,,
Rogers Park Middle School,Public,21 Memorial Drive,Danbury,6810,Fairfield,0.1,0.0,0.1
Shelter Rock Elementary School,Public,2 Crows Nest Lane,Danbury,6810,Fairfield,0.0,0.0,0.0
South Street Elementary School,Public,129 South Street,Danbury,6810,Fairfield,0.5,0.0,0.5
St Peters School,Non-public,98 Main Street,Danbury,6810,Fairfield,0.0,0.0,0.0
St. Gregory The Great School,Non-public,85 Great Plain Road,Danbury,6811,Fairfield,7.0,0.4,7.4
St. Joseph'S School,Non-public,370 Main Street,Danbury,6811,Fairfield,5.9,0.0,5.9
Stadley Rough Elementary,Public,25 Karen Rd,Danbury,6811,Fairfield,0.0,0.0,0.0
"Western Ct Academy For International Studies, Elementary School",Public,201 University Boulevard,Danbury,6811,Fairfield,3.4,0.9,4.3
Westside Middle School,Public,1 School Ridge Road,Danbury,6811,Fairfield,1.2,0.3,1.5
Wooster School,Non-public,91 Miry Brook Road,Danbury,6810,Fairfield,6.2,0.7,6.8
Great Plain Elementary School,Public,10 Stadley Rough Rd.,Danbury,6811,Fairfield,0.8,0.4,1.2
Joshua Center Northeast Cdt,Non-public,934 N. Main Street,Danielson,6239,Windham,,,
Quinebaug Middle College Magnet High School,Public,742 Upper Maple Street,Danielson,6239,Windham,0.6,0.0,0.6
Eastconn Northeast Regional Program,Public,79 Westfield Avenue,Danielson,6239,Windham,0.0,0.0,0.0
Darien High School,Public,80 High School Lane,Darien,6820,Fairfield,1.1,0.3,1.3
Hindley,Public,10 Nearwater Lane,Darien,6820,Fairfield,2.2,0.0,2.2
Holmes Elementary School,Public,18 Hoyt Street,Darien,6820,Fairfield,0.5,0.0,0.5
Middlesex Middle School,Public,204 Hollow Tree Ridge Road,Darien,6820,Fairfield,2.0,0.3,2.2
Ox Ridge Elementary School,Public,395 Mansfield Avenue,Darien,6820,Fairfield,2.1,0.2,2.3
Royle Elementary School,Public,133 Mansfield Avenue,Darien,6820,Fairfield,1.9,0.6,2.5
Tokeneke Elementary School,Public,7 Old Farm Road,Darien,6820,Fairfield,1.6,0.0,1.6
Killingly Central School,Public,60 Soap St,Dayville,6241,Windham,0.0,0.0,0.0
Deep River Elementary School,Public,12 River Street,Deep River,6417,Middlesex,2.6,0.0,2.6
John Winthrop Middle School,Public,1 Winthrop Road,Deep River,6417,Middlesex,2.1,2.1,4.2
Valley Regional High School,Public,256 Kelsey Hill Road,Deep River,6417,Middlesex,3.7,0.0,3.7
Bradley Elementary,Public,155 David Humphreys Rd,Derby,6418,New Haven,3.0,0.0,3.0
Derby High School,Public,75 Chatfield St,Derby,6418,New Haven,0.3,0.3,0.6
Derby Middle School,Public,73 Chatfield Street,Derby,6418,New Haven,0.7,0.0,0.7
Irving Elementary School,Public,9 Garden Place,Derby,6418,New Haven,1.0,0.0,1.0
Little Raiders University,Public,75 Chatfield St,Derby,6418,New Haven,1.6,3.3,4.9
RAISE Academy,Public,75 Chatfield St.,Derby,6418,New Haven,,,
St. Mary St. Michael,Non-public,14 Seymour Avenue,Derby,6418,New Haven,1.8,0.0,1.8
Coginchaug Regional High School,Public,135 Pickett Lane,Durham,6422,Middlesex,0.5,0.5,1.0
Frederick F Brewster Elementary School,Public,126 Tuttle Road,Durham,6422,Middlesex,2.1,0.4,2.6
Strong Middle School,Public,191 Main Street,Durham,6422,Middlesex,4.5,0.0,4.5
Richard D. Hubbard,Public,139 Grove St.,East Berlin,6023,Hartford,1.8,0.0,1.8
Carl Allgrove Elementary,Public,33 Turkey Hills Road,East Granby,6026,Hartford,0.0,0.0,0.0
East Granby High School,Public,95 South Main St,East Granby,6026,Hartford,1.2,0.0,1.2
East Granby Middle School,Public,95 South Main St,East Granby,6026,Hartford,2.6,0.0,2.6
The Franklin Academy,Non-public,140 River Road,East Haddam,6423,Middlesex,2.4,0.0,2.4
Center Elementary School,Public,7 Summit St,East Hampton,6424,Middlesex,2.3,1.1,3.4
East Hampton High School,Public,15 North Maple,East Hampton,6424,Middlesex,3.5,0.8,4.3
East Hampton Middle School,Public,19 Childs Rd.,East Hampton,6424,Middlesex,3.0,0.7,3.7
East Hampton Nursery School,Non-public,111 Main Street,East Hampton,6424,Middlesex,,,
Memorial Elementary,Public,20 Smith Street,East Hampton,6424,Middlesex,2.4,0.2,2.6
Academy Of Computer Science And Engineering Middle School,Public,337 East River Drive,East Hartford,6108,Hartford,0.5,0.3,0.8
Anna E Norris Elementary School,Public,40 Remington Road,East Hartford,6108,Hartford,2.9,0.0,2.9
CIBA,Public,857 Forbes Street,East Hartford,6118,Hartford,1.1,0.0,1.1
Connecticut River Academy,Public,9 Riverside Drive,East Hartford,6118,Hartford,0.6,0.0,0.6
Connecticut River Academy- Middle School,Non-public,195 Riverside Dr,East Hartford,6118,Hartford,0.0,0.5,0.5
Dr. John Langford Elementary School,Public,61 Alps Drive,East Hartford,6108,Hartford,1.6,0.0,1.6
East Hartford High School,Public,869 Forbes Street,East Hartford,6118,Hartford,0.9,0.0,0.9
East Hartford Middle School,Public,777 Burnside Ave,East Hartford,6108,Hartford,1.0,0.0,1.0
Franklin Mayberry Elementart School,Public,101 Great Hill Rd,East Hartford,6108,Hartford,0.0,0.0,0.0
Gov Wiliam Pitkin School,Public,330 Hills Street,East Hartford,6118,Hartford,0.0,0.0,0.0
Hockanum,Public,191 Main Stree,East Hartford,6118,Hartford,0.0,0.0,0.0
Joseph O. Goodwin Elementary School,Public,1235 Forbes St.,East Hartford,6118,Hartford,2.3,1.7,4.0
Pathways Academy Of Technology And Design,Public,2 Pent Road,East Hartford,6118,Hartford,0.3,0.8,1.0
Riverside Magnet School,Public,29 Willowbrook Rd.,East Hartford,6118,Hartford,1.1,1.1,2.2
Robert J. O'Brien Elementary School,Public,56 Farm Drive,East Hartford,6108,Hartford,0.9,0.0,0.9
Silver Lane Elementary,Public,15 Mercer Ave,East Hartford,6108,Hartford,0.9,0.0,0.9
Sunset Ridge Middle School,Public,450 Forbes Street,East Hartford,6118,Hartford,0.3,0.9,1.2
Synergy Alternative High School Program,Public,40 Butternut Drive,East Hartford,6118,Hartford,1.0,0.0,1.0
Thomas S. O'Connell Elementary School,Public,305 May Road,East Hartford,6118,Hartford,0.4,0.0,0.4
Woodland School,Public,110 Long Hill Drive,East Hartford,6108,Hartford,0.0,0.0,0.0
CREC Polaris,Public,474 School St,East Hartford,6108,Hartford,0.0,0.0,0.0
Hartland School,Public,30 South Road,East Hartland,6027,Hartford,0.0,0.0,0.0
Deer Run Elementary,Public,311 Foxon Road,East Haven,6512,New Haven,0.4,0.9,1.3
DH Ferrara School,Public,22 Maynard Rd.,East Haven,6513,New Haven,0.6,0.0,0.6
East Haven Academy,Public,67 Hudson Street,East Haven,6512,New Haven,0.3,0.0,0.3
East Haven High School,Public,35 Wheelbarrow Lane,East Haven,6513,New Haven,0.5,0.0,0.5
Grove J Tuttle School,Public,108 Prospect Road,East Haven,6512,New Haven,0.4,0.0,0.4
Joseph Melillo Middle School,Public,67 Hudson Street,East Haven,6512,New Haven,0.4,0.0,0.4
Momauguin,Public,99 Cosey Beach Rd,East Haven,6512,New Haven,0.6,0.0,0.6
Overbrook Early Learning Center,Public,54 Gerrish Ave,East Haven,6512,New Haven,0.0,0.0,0.0
Pathways Academy,Public,35 Bishop St,East Haven,6512,New Haven,,,
East Lyme High School,Public,30 Chesterfield Road,East Lyme,6333,New London,0.4,0.9,1.3
Flanders Elementary School,Public,167 Boston Post Road,East Lyme,6333,New London,4.7,0.0,4.7
LEARN Transition Academy,Public,132 Boston Post Rd,East Lyme,6333,New London,,,
East Windsor High School,Public,76 South Main Street,East Windsor,6088,Hartford,0.7,0.3,1.0
Eastford Elementary School,Public,12 Westford Road,Eastford,6242,Windham,5.3,1.3,6.6
Helen Keller Middle School,Public,360 Sport Hill Road,Easton,6612,Fairfield,4.4,0.0,4.4
Samuel Staples Elementary School,Public,515 Morehouse Road,Easton,6612,Fairfield,4.1,0.7,4.7
Center Elementary School,Public,49 Main St.,Ellington,6029,Tolland,2.1,0.4,2.6
Ellington High School,Public,37 Maple Street,Ellington,6029,Tolland,1.8,1.2,3.0
Windermere School,Public,2 Abbott Rd,Ellington,6029,Tolland,2.6,0.2,2.8
Crystal Lake Elementary School,Public,59 South Rd,Ellington,6074,Hartford,4.6,0.3,4.9
Ellington Middle School,Public,46 Middle Butcher Road,Ellington,6029,Tolland,4.0,0.5,4.5
Civic Leadership High School,Public,1617 King St,Enfield,6082,Hartford,0.0,0.0,0.0
Eagle Academy,Public,1270 Enfield St.,Enfield,6082,Hartford,,,
Edgar H. Parkman School,Public,165 Weymouth Rd,Enfield,6082,Hartford,0.7,0.0,0.7
Enfield Street School,Public,1318 Enfield Street,Enfield,6082,Hartford,0.0,0.3,0.3
Hazardville Memorial Elementary,Public,68 North Maple Street,Enfield,6082,Hartford,0.3,0.0,0.3
Henry Barnard,Public,27 Shaker Road,Enfield,6078,Hartford,2.4,0.2,2.7
John F. Kennedy Middle School,Public,155 Raffia Road,Enfield,6082,Hartford,1.0,0.2,1.2
Joshua Center Enfield CDT,Non-public,"72 Shaker Road, Suite 7",Enfield,6082,Hartford,,,
Prudence Crandall School,Public,150Brainard Road,Enfield,6082,Hartford,0.0,0.0,0.0
St. Bernard,Non-public,232 Pearl St.,Enfield,6082,Hartford,2.8,2.8,5.6
Stowe Early Learning Center,Public,117 Post Office Rd,Enfield,6082,Hartford,0.0,0.0,0.0
Eli Whitney Elementary School,Public,94 Middle Rd.,Enfield,6082,Hartford,0.9,0.0,0.9
Enfield High School,Public,1264 Enfield Street,Enfield,6082,Hartford,0.5,0.3,0.8
Enfield Montessori,Non-public,1325 Enfield St.,Enfield,6082,Hartford,3.2,0.5,3.7
Burr Elementary School,Public,1960 Burr Street,Fairfield,6824,Fairfield,5.3,0.3,5.6
Dwight Elementary School,Public,1600 Redding Road,Fairfield,6824,Fairfield,4.4,0.0,4.4
Early Childhood Center,Public,755 Melville Avenue,Fairfield,6825,Fairfield,0.0,0.8,0.8
Fairfield Country Day School,Non-public,2970 Bronson Road,Fairfield,6824,Fairfield,2.0,0.0,2.0
Fairfield Ludlowe High School,Public,785 Unquowa Road,Fairfield,6824,Fairfield,0.7,0.1,0.8
Fairfield Preparatory High School,Non-public,1073 North Benson Rd,Fairfield,6824,Fairfield,2.4,0.3,2.6
Fairfield Warde High School,Public,75 Melville Ave,Fairfield,6825,Fairfield,1.6,0.1,1.6
Fairfield Woods Middle School,Public,1115 Fairfield Woods Road,Fairfield,6825,Fairfield,4.3,0.7,5.0
Fusion Academy Fairfield,Non-public,777 Commerce Drive Suite 100,Fairfield,6825,Fairfield,0.0,0.0,0.0
Holland Hill,Public,105 Meadowcroft Road,Fairfield,6824,Fairfield,3.2,0.5,3.7
Jennings Elementary School,Public,31 Palm Drive,Fairfield,6825,Fairfield,1.1,0.0,1.1
Mckinley Elementaty,Public,60 Thompson Street,Fairfield,6825,Fairfield,2.7,0.0,2.7
North Stratfield Elementary School,Public,190 Putting Green Road,Fairfield,6825,Fairfield,0.7,0.2,0.9
Notre Dame High School,Non-public,"220 Jefferson St,",Fairfield,6824,Fairfield,0.8,0.0,0.8
Osborn Hill Elementary School,Public,760 Stillson Road,Fairfield,6824,Fairfield,0.9,0.0,0.9
Riverfield Elementary,Public,1625 Mill Plain Road,Fairfield,6824,Fairfield,0.5,1.0,1.5
Roger Ludlowe Middle School,Public,689 Unquowa Road,Fairfield,6824,Fairfield,3.9,0.3,4.2
Roger Sherman Elementary,Public,250 Fern Street,Fairfield,6824,Fairfield,2.8,0.8,3.5
Saint Thomas Aquinas Catholic School,Non-public,1719 Post Road,Fairfield,6824,Fairfield,0.9,0.3,1.2
St. Catherine Academy,Non-public,760 Tahmore Drive,Fairfield,6825,Fairfield,,,
Stratfield Elementary,Public,1407 Melville Ave,Fairfield,6825,Fairfield,0.5,0.0,0.5
The Unquowa School,Non-public,981 Stratfield Rd,Fairfield,6825,Fairfield,11.3,0.7,11.9
Tomlinson Middle School,Public,200 Unquowa Rd,Fairfield,6824,Fairfield,2.7,0.0,2.7
Assumption Catholic School,Non-public,605 Stratfield Rd,Fairfield,6825,Fairfield,1.2,0.0,1.2
Housatonic Valley Regional High School,Public,246 Warren Turnpike Road,Falls Village,6031,Litchfield,2.2,0.0,2.2
Lee Kellogg School,Public,47 Main Street,Falls Village,6031,Litchfield,1.3,0.0,1.3
East Farms Elementary School,Public,25 Wolf Pit Road,Farmington,6032,Hartford,1.9,0.0,1.9
Farmington High School,Public,10 Montieth Dr.,Farmington,6032,Hartford,1.5,0.3,1.8
Miss Porter'S School,Non-public,60 Main Street,Farmington,6032,Hartford,0.0,0.0,0.0
Noah Wallace School,Public,2 School Street,Farmington,6032,Hartford,1.0,0.2,1.2
West Woods Upper Elementary School,Public,50 Judson Lane,Farmington,6032,Hartford,2.2,0.6,2.8
Franklin Elementary School,Public,206 Pond Rd,Franklin,6254,New London,8.6,8.6,17.2
Green Valley School,Non-public,206 Pond Road,Franklin,6254,New London,,,
Gales Ferry Elementary School,Public,1858 Rt 12,Gales Ferry,6335,New London,0.9,0.0,0.9
Juliet W. Long School,Public,1854 Rt 12,Gales Ferry,6335,New London,1.5,0.4,1.9
Ledyard Middle School,Public,1852 Route 12,Gales Ferry,6335,New London,2.1,0.8,2.8
Buttonball Lane Elementary School,Public,376 Buttonball Lane,Glastonbury,6033,Hartford,0.9,0.7,1.6
Eastbury Programs,Public,1389 Neipsic Road,Glastonbury,6033,Hartford,3.0,0.0,3.0
Gideon Welles School,Public,1029 Neipsic Road,Glastonbury,6033,Hartford,1.0,0.0,1.0
Glastonbury East Hartford Magnet School,Public,95 Oak St,Glastonbury,6033,Hartford,0.9,0.2,1.1
Glastonbury High School,Public,330 Hubbard St.,Glastonbury,6033,Hartford,1.7,0.1,1.7
Hebron Avenue School,Public,1363 Hebron Avenue,Glastonbury,6033,Hartford,2.2,0.0,2.2
Naubuc Elementary,Public,84 Griswold St,Glastonbury,6033,Hartford,1.4,0.0,1.4
Smith Middle School,Public,216 Addison Road,Glastonbury,6033,Hartford,0.9,0.0,0.9
Goshen Center School,Public,50 North Street,Goshen,6756,Litchfield,4.9,0.7,5.6
Granby Memorial High School,Public,54 North Granby Road,Granby,6035,Hartford,2.4,0.0,2.4
Granby Memorial Middle School,Public,321 Salmon Brook St,Granby,6035,Hartford,2.5,0.5,3.0
Kelly Lane Primary School,Public,60 Kelly Lane,Granby,6035,Hartford,2.0,0.0,2.0
Wells Road Intermediate School,Public,134 Wells Road,Granby,6035,Hartford,2.4,0.3,2.6
Central Middle School,Public,9 Indian Rock Lane,Greenwich,6830,Fairfield,1.6,0.0,1.6
Eastern Middle School,Public,51 Hendrie Avenue,Greenwich,6878,Fairfield,0.5,0.0,0.5
Glenville Elementary School,Public,33 Riversville Rd,Greenwich,6831,Fairfield,3.1,0.5,3.6
Greenwich Academy,Non-public,200 North Maple Ave,Greenwich,6830,Fairfield,0.5,0.2,0.7
Greenwich Catholic School,Non-public,471 North Street,Greenwich,6830,Fairfield,9.0,0.9,9.9
Greenwich Country Day School,Non-public,401 Old Church Road,Greenwich,6830,Fairfield,0.3,0.5,0.8
Hamilton Avenue,Public,184 Hamilton Avenue,Greenwich,6830,Fairfield,1.7,0.7,2.4
Julian Curtiss School,Public,180 East Elm Street,Greenwich,6830,Fairfield,2.9,0.4,3.3
New Lebanon School,Public,25 Mead Ave,Greenwich,6830,Fairfield,0.9,0.0,0.9
North Street School,Public,381 North Street,Greenwich,6830,Fairfield,2.8,0.0,2.8
Parkway,Public,141 Lower Cross Rd,Greenwich,6831,Fairfield,0.4,0.0,0.4
Sacred Heart Greenwich,Non-public,1177 King Street,Greenwich,6831,Fairfield,1.0,0.5,1.5
Western Middle School,Public,1 Western Junior Highway,Greenwich,6830,Fairfield,1.3,0.0,1.3
Whitby School,Non-public,969 Lake Avenue,Greenwich,6831,Fairfield,4.3,1.0,5.2
Eagle Hill School,Non-public,45 Glenville Rd,Greenwich,6831,Fairfield,0.8,0.8,1.5
Greenwich High School,Public,10 Hillside Road,Greenwich,6830,Fairfield,1.0,0.1,1.0
Griswold Alternative School,Public,1553 Glasgo Ave,Griswold,6351,New London,,,
Griswold High School,Public,267 Slater Ave.,Griswold,6351,New London,0.5,0.0,0.5
Griswold Middle School,Public,211 Slater Avenue,Griswold,6351,New London,3.0,0.2,3.2
Catherine Kolnaski,Public,500 Poqquonnock Road,Groton,6340,New London,1.4,0.0,1.4
Charles Barnum Discovery Magnet School,Public,68 Briar Hill Rd,Groton,6340,New London,1.5,0.6,2.1
Marine Science Magnet High School,Public,130 Shennecossett Rd,Groton,6340,New London,2.6,0.7,3.4
Robert E Fitch High School,Public,101 Groton Long Pt Road,Groton,6340,New London,0.9,0.0,0.9
Sacred Heart School,Non-public,50 Sacred Heart Drive,Groton,6340,New London,1.5,0.7,2.2
Thames River Magnet School,Public,25- Brandegee Ave,Groton,6340,New London,1.7,0.2,1.9
Groton Middle School,Public,35 Groton Long Point Rd,Groton,6340,New London,1.2,0.3,1.6
A.W. Cox,Public,143 Three Mile Course,Guilford,6437,New Haven,0.8,0.8,1.5
Adams Middle School,Public,233 Church Street,Guilford,6437,New Haven,2.7,0.6,3.3
Calvin Leete Elementary School,Public,280 South Union Street,Guilford,6437,New Haven,0.0,0.0,0.0
Guilford High School,Public,605 New England Road,Guilford,6437,New Haven,2.0,0.7,2.7
Guilford Lakes School,Public,40 Maupas Road,Guilford,6437,New Haven,1.4,1.2,2.6
Melissa Jones Elementary,Public,181 Ledgehill Road,Guilford,6437,New Haven,0.7,0.0,0.7
ACES Whitney High School North,Public,130 B Leeder Hill Drive,Hamden,6517,New Haven,0.0,0.0,0.0
Alice Peck Early Learning Center,Public,35 Hillfield Rd,Hamden,6518,New Haven,0.0,0.0,0.0
Bear Path,Public,10 Kirk Rd,Hamden,6514,New Haven,0.2,0.0,0.2
Church Street School,Public,95 Church Street School,Hamden,6514,New Haven,0.4,0.0,0.4
Eli Whitney Technical High School,Public,100 Fairview Ave,Hamden,6514,New Haven,0.7,0.0,0.7
Hamden Hall Country Day School,Non-public,1108 Whitney Ave,Hamden,6517,New Haven,1.8,1.3,3.0
Hamden High School,Public,2040 Dixwell Ave,Hamden,6611,New Haven,0.8,0.0,0.8
Hamden Middle School,Public,2623 Dixwell Ave.,Hamden,6518,New Haven,1.0,1.0,1.9
Ridge Hill,Public,120 Carew Road,Hamden,6517,New Haven,1.0,0.3,1.3
Sacred Heart Academy,Non-public,265 Benham Street,Hamden,6514,New Haven,1.4,0.0,1.4
Shepherd Glen School,Public,1 Skiff St,Hamden,6514,New Haven,0.0,0.0,0.0
St Rita School,Non-public,1601 Whitney Ave,Hamden,6517,New Haven,0.8,0.3,1.1
West Woods School,Public,350 West Todd Rd,Hamden,6518,New Haven,1.0,0.0,1.0
Whitney Academy,Public,130-A Leeder Hill Dr,Hamden,6517,New Haven,0.7,0.0,0.7
Hampton Elementary School,Public,380 Main Street,Hampton,6247,Windham,9.1,1.5,10.6
Achievement First Hartford,Non-public,305 Greenfield Street,Hartford,6112,Hartford,0.3,0.0,0.3
Alfred E. Burr Middle School,Public,400 Wethersfield Ave,Hartford,6114,Hartford,0.0,0.7,0.7
Betances Learning Lab,Public,42 Charter Oak Avenue,Hartford,6106,Hartford,0.8,0.0,0.8
Betances Stem Magnet,Public,400 Wethersfield Ave,Hartford,6114,Hartford,0.0,1.0,1.0
Breakthrough Magnet North,Public,25 Ridgefield Street,Hartford,6002,Hartford,0.3,0.0,0.3
Breakthrough Magnet South School,Public,290 Brookfield Street,Hartford,6106,Hartford,0.6,0.3,0.9
Buckeley H.S. North,Public,395 Lyme Street,Hartford,6112,Hartford,0.0,0.0,0.0
Burns Latino Studies Academy,Public,195 Putnam St.,Hartford,6010,Hartford,0.0,0.0,0.0
Capital Prep Magnet School,Public,1304 Main Street,Hartford,6103,Hartford,0.9,0.0,0.9
Classical Magnet,Public,85 Woodland Street,Hartford,6105,Hartford,0.0,0.0,0.0
Covenant Preparatory School,Non-public,474 Woodland Street,Hartford,6112,Hartford,8.8,0.0,8.8
Dr. Martin Luther King Middle School,Public,25 Ridgefield Street,Hartford,6112,Hartford,0.0,0.0,0.0
Dwight-Bellizzi Dual Language Academy,Public,215 South Street,Hartford,6114,Hartford,0.0,0.0,0.0
Eagle House,Non-public,1680 Albany Ave,Hartford,6105,Hartford,,,
Environmental Sciences @ Mary Hooker,Public,440 Broadview Terrace,Hartford,6106,Hartford,0.9,0.0,0.9
Expeditionary Learning Academy At Moylan,Public,101 Catherine Street,Hartford,6106,Hartford,0.0,0.3,0.3
Global Communication Academy,Public,85 Edwards Street,Hartford,6120,Hartford,0.0,0.0,0.0
Grace Academy,Non-public,457 Main Street,Hartford,6103,Hartford,1.9,0.0,1.9
Grace S. Webb School,Non-public,200 Retreat Ave,Hartford,6114,Hartford,0.0,0.0,0.0
Hartford Magnet Trinity College Academy,Public,53 Vernon Street,Hartford,6106,Hartford,0.4,0.0,0.4
Hartford Pre-K Magnet North,Non-public,85 Edwards St,Hartford,6120,Hartford,0.0,0.0,0.0
Hartford Public High School,Public,55 Forest St,Hartford,6105,Hartford,0.0,0.0,0.0
Jumoke Academy Hartford Conservatory,Non-public,875 Asylum Ave,Hartford,6105,Hartford,0.0,0.0,0.0
Kennelly,Public,180 White Street,Hartford,6114,Hartford,0.0,0.0,0.0
Kinsella High School,Public,415 Granby Street,Hartford,6120,Hartford,0.8,0.0,0.8
Kinsella Magnet School,Public,65 Van Block Ave.,Hartford,6106,Hartford,0.0,0.0,0.0
Maria C. Colon Sanchez Elementary School,Public,176 Babcock Street,Hartford,6106,Hartford,0.0,0.0,0.0
Mcdonough Middle School,Public,111 Hillside Avenue,Hartford,6106,Hartford,0.3,0.0,0.3
MD Fox,Public,470 Maple Aveenue,Hartford,6114,Hartford,0.0,0.0,0.0
Montessori Magnet @Annie Fisher,Public,280 Plainfield Street,Hartford,6112,Hartford,1.5,0.0,1.5
Montessori Magnet At Batchelder,Public,757 New Britain Ave,Hartford,6106,Hartford,3.1,0.0,3.1
Noah Webster Microsociety,Public,5 Cone St.,Hartford,6105,Hartford,0.2,0.0,0.2
Northeastern Adventist Academy Hartford Campus,Non-public,474 Woodland Street,Hartford,6112,Hartford,4.3,0.0,4.3
Parkville Community School,Public,47 New Park Avenue,Hartford,6105,Hartford,0.2,0.0,0.2
Renzulli Academy,Public,85 Woodland Street,Hartford,6105,Hartford,0.8,0.0,0.8
SAND,Public,1750 Main Street,Hartford,6037,Hartford,0.3,0.0,0.3
Sara J. Rawson Elementary School,Public,260 Holcomb Street,Hartford,6112,Hartford,0.0,0.4,0.4
Sport And Medical Sciences Academy,Public,280 Huyshope Ave.,Hartford,6106,Hartford,0.0,0.0,0.0
STEM Magnet @Annie Fisher,Public,280 Plainfield Street,Hartford,6112,Hartford,0.3,0.0,0.3
Thirman L. Milner Middle School,Public,150 Tower Avenue,Hartford,6120,Hartford,0.0,0.0,0.0
Trinity Academy,Non-public,120 Sigourney Street,Hartford,6105,Hartford,8.3,0.0,8.3
University High School,Public,351 Mark Twain Dr,Hartford,6112,Hartford,0.8,0.0,0.8
