School Name,School Type,Address,City,Zipcode,County,Ex_Rel,Ex_Med,Ex_Tot
Coleytown Middle School,Public,255 North Avenue,Westport,6880,Fairfield,1.7,0.0,1.7
Greens Farms Elementary,Public,17 Morningside Drive South,Westport,6880,Fairfield,1.7,0.4,2.2
Landmark Preschool,Non-public,11 Burr Road,Westport,6880,Fairfield,0.0,1.6,1.6
Long Lots Elementary School,Public,13 Hyde Lane,Westport,6880,Fairfield,2.0,1.2,3.2
Staples High School,Public,70 North Ave,Westport,6880,Fairfield,2.1,0.7,2.8
Stepping Stones Preschool,Public,65 Easton Road,Westport,6880,Fairfield,0.0,0.0,0.0
Bedford Middle School,Public,88 North Ave.,Westport,6880,Fairfield,3.0,0.7,3.7
Saugatuck Elementary School,Public,170 Riverside Avenue,Westport,6880,Fairfield,3.0,0.0,3.0
Alfred W Hanmer Elementary School,Public,50 Francis Street,Wethersfield,6109,Hartford,1.8,0.0,1.8
Charles Wright Elementary School,Public,186 Nott Street,Wethersfield,6109,Hartford,0.7,0.7,1.5
Corpus Christi School,Non-public,581 Silas Deane Highway,Wethersfield,6109,Hartford,2.8,1.1,3.9
Discovery Academy CREC,Public,176 Cumberland Ave,Wethersfield,6109,Hartford,1.9,0.2,2.1
Emerson Williams Elementary School,Public,461 Wells Road,Wethersfield,6109,Hartford,0.5,0.2,0.7
Highcrest,Public,95 Highcrest Rd,Wethersfield,6109,Hartford,1.7,0.2,1.9
Pre-K Annex At Progress Drive,Public,123 Progress Drive,Wethersfield,6109,Hartford,0.0,0.0,0.0
Samuel Webb Elementary,Public,51 Willow Street,Wethersfield,6109,Hartford,1.2,0.9,2.0
Wethersfield High School,Public,411 Wolcott,Wethersfield,6109,Hartford,1.7,0.0,1.7
Silas Deane Middle School,Public,551 Silas Deane Highway,Wethersield,6109,Hartford,1.4,0.2,1.6
Arts At The Capitol Theater Magnet High School,Public,896 Main Street,Willimantic,6226,Windham,4.7,0.0,4.7
Natchaug School,Public,123 Jackson Street,Willimantic,6226,Windham,0.4,0.0,0.4
Windham Early Childhood Center,Public,123 Quarry Street,Willimantic,6226,Windham,0.0,0.0,0.0
Windham High School,Public,123 High Street,Willimantic,6226,Windham,0.6,0.3,0.9
Windham Middle School,Public,123 Quarry Steet,Willimantic,6226,Windham,0.9,0.2,1.0
Windham Technical High School,Public,210 Birch St.,Willimantic,6226,Windham,1.7,0.0,1.7
Sweeney Elementary School,Public,60 Oak Hill Road,Willimantic,6226,Windham,0.0,0.0,0.0
Center Elementary School,Public,12 Old Farms Road,Willington,6279,Tolland,1.8,0.0,1.8
Hall Memorial School,Public,111 River Road,Willington,6279,Tolland,1.7,0.0,1.7
Cider Mill School,Public,240 School Road,Wilton,6897,Fairfield,3.1,0.0,3.1
Middlebrook,Public,131 School Rd,Wilton,6897,Fairfield,3.3,3.0,6.3
Miller Driscoll,Public,217 Wolfpit Road,Wilton,6897,Fairfield,2.5,1.2,3.7
Wilton High School,Public,395 Danbury Road,Wilton,6897,Fairfield,2.3,2.3,4.6
Seven Acres Montessori,Non-public,34 Whipple Rd,Wilton,6897,Fairfield,5.6,1.4,7.0
Windham Center School,Public,45 North Road,Windham,6280,Windham,0.9,0.0,0.9
Academy Of Aerospace And Engineering Middle/Highschool,Public,1101 Kennedy Rd,Windsor,6095,Hartford,1.1,0.1,1.2
John F. Kennedy,Public,530 Park Ave.,Windsor,6095,Hartford,1.1,0.0,1.1
Oliver Ellsworth Elementary,Public,730 Kennedy Road,Windsor,6095,Hartford,0.2,0.7,0.9
Poquonock Elementary School,Public,1760 Poquonock Avenue,Windsor,6095,Hartford,0.3,0.0,0.3
River Street School,Public,601 River Street,Windsor,6095,Hartford,2.8,1.4,4.3
Sage Park Middle School,Public,25 Sage Park Rd,Windsor,6095,Hartford,0.6,0.0,0.6
Saint Gabriel School,Non-public,77 Bloomfield Ave.,Windsor,6095,Hartford,0.7,0.0,0.7
The Loomis Chaffee School,Non-public,4 Batchelder Road,Windsor,6095,Hartford,0.3,0.0,0.3
Trinity Christian School,Non-public,180 Park Ave.,Windsor,6095,Hartford,,,
Windsor High School,Public,50 Sage Park Road,Windsor,6095,Hartford,0.7,0.1,0.8
North Street School,Public,325 North Street,Windsor Locks,6096,Hartford,1.5,1.0,2.5
South Street School,Public,87 South Street,Windsor Locks,6096,Hartford,3.1,0.0,3.1
Windsor Locks High,Public,58 South Elm Street,Windsor Locks,6096,Hartford,1.4,0.0,1.4
Windsor Locks Middle School,Public,10 South Center Street,Windsor Locks,6096,Hartford,1.2,0.0,1.2
Explorations Charter School,Public,71 Spencer Street,Winsted,6098,Litchfield,0.0,0.0,0.0
Regional School District 7,Public,100 Battistoni Drive,Winsted,6098,Litchfield,5.0,0.3,5.3
The Gilbert School,Public,200 Williams Avenue,Winsted,6098,Litchfield,0.5,0.0,0.5
Alcott Elementary School,Public,1490 Woodtick Road,Wolcott,6716,New Haven,1.0,0.0,1.0
Frisbie Elementary School,Public,24 Todd Road,Wolcott,6716,New Haven,0.3,0.0,0.3
